0.5	0.10199	0.19323	0.32328	0.36852	0.60261	0.38383	0.80759	0.43072	0.32201	0.41435	0.95943	0.27983	0.54437
0.505	0.10254	0.18054	0.30391	0.33025	0.60318	0.35732	0.80672	0.43034	0.31502	0.37674	0.96033	0.26199	0.52042
0.51	0.1013	0.18908	0.25984	0.34269	0.60303	0.345	0.80819	0.43259	0.29545	0.3726	0.96023	0.24847	0.50684
0.515	0.10864	0.201	0.29219	0.3853	0.60345	0.38124	0.80687	0.44503	0.30834	0.41149	0.96013	0.27468	0.54333
0.52	0.11501	0.20756	0.33623	0.40849	0.60256	0.4171	0.80903	0.45469	0.33293	0.44111	0.95956	0.30433	0.5702
0.525	0.11878	0.21025	0.35956	0.41818	0.60363	0.43303	0.80782	0.45924	0.34602	0.45256	0.96179	0.31978	0.58376
0.53	0.12257	0.21176	0.37199	0.42297	0.6029	0.44333	0.80964	0.46511	0.3533	0.45725	0.96143	0.32916	0.59215
0.535	0.12505	0.21195	0.37946	0.42454	0.60383	0.44834	0.80831	0.46877	0.35732	0.45794	0.9619	0.33489	0.59591
0.54	0.1275	0.21043	0.38	0.41993	0.60288	0.44688	0.80871	0.47175	0.35962	0.45216	0.9615	0.33505	0.5957
0.545	0.12793	0.20758	0.37112	0.41032	0.60313	0.43896	0.80813	0.47283	0.3561	0.4412	0.96137	0.32916	0.58878
0.55	0.12869	0.20733	0.35847	0.40845	0.60316	0.43296	0.80871	0.47413	0.35152	0.43505	0.96207	0.3236	0.58358
0.555	0.13151	0.21101	0.36331	0.4217	0.60366	0.44334	0.80904	0.47853	0.35318	0.4455	0.96307	0.3304	0.59321
0.56	0.13518	0.21483	0.3857	0.43768	0.60296	0.46394	0.81036	0.48385	0.36385	0.46029	0.9621	0.34742	0.61025
0.565	0.13868	0.21773	0.40649	0.44784	0.60321	0.48083	0.80968	0.48708	0.37394	0.47163	0.96321	0.36194	0.62113
0.57	0.14102	0.21947	0.42159	0.45644	0.6011	0.49356	0.81048	0.49018	0.38048	0.47883	0.96264	0.3723	0.62974
0.575	0.14353	0.22095	0.43144	0.46322	0.60328	0.50292	0.80991	0.49315	0.38514	0.4842	0.96348	0.37921	0.63489
0.58	0.14513	0.22193	0.43979	0.46802	0.60235	0.51008	0.81105	0.49476	0.38765	0.48785	0.96348	0.38482	0.64017
0.585	0.14706	0.22277	0.44596	0.47293	0.60357	0.51592	0.8108	0.49662	0.39131	0.49073	0.96454	0.3887	0.6435
0.59	0.14814	0.22362	0.45078	0.47617	0.60226	0.52105	0.81214	0.49798	0.39228	0.49242	0.96348	0.39177	0.64598
0.595	0.14958	0.22384	0.45441	0.47883	0.60338	0.5245	0.81089	0.49984	0.39458	0.49418	0.96512	0.39436	0.64843
0.6	0.14992	0.22454	0.4575	0.48172	0.60203	0.5283	0.81258	0.50067	0.39489	0.49455	0.96419	0.39565	0.64839
0.605	0.15098	0.2248	0.45946	0.48324	0.6027	0.53076	0.81202	0.50141	0.39673	0.49538	0.96422	0.39655	0.65118
0.61	0.15162	0.22473	0.46198	0.48525	0.60219	0.53373	0.81303	0.50303	0.397	0.49566	0.96446	0.39817	0.65211
0.615	0.15195	0.22499	0.46347	0.48618	0.60236	0.53505	0.8126	0.50389	0.39748	0.49623	0.96543	0.39879	0.65356
0.62	0.15275	0.22471	0.46515	0.4877	0.60203	0.53736	0.81241	0.50496	0.39864	0.49603	0.96354	0.39961	0.65383
0.625	0.15303	0.22536	0.46634	0.48917	0.60262	0.53881	0.81214	0.50551	0.3993	0.49598	0.96494	0.40005	0.65497
