RELAB ID	DL_CMP-051	DL-CMP-057	DL-CMP-058	DL-CMP-055	DL-CMP-050	DL-CMP-054	DL-CMP-086	DL-CMP-060	DL-CMP-072	DL-CMP-087	DL-CMP-084	DL-CMP-078	DL-CMP-067	DL-CMP-073	DL-CMP-068	DL-CMP-074	DL-CMP-066	DL-CMP-085	DL-CMP-032	DL-CMP-077	DL-CMP-075	DL-CMP-079	DL-CMP-071	DL-CMP-076	DL-CMP-070
Wavelength (um)	051 - Wo27 En39 Fs34	057 - Wo25 En36 Fs39	058 - Wo27 En28 Fs45	055 - Wo26 En18 Fs56	050 - Wo23 En19 Fs58	054 - Wo23 En6 Fs70	086 - Wo25 Fs75	060- Wo30 En70	072 - Wo30 En70	087 - Wo29 Fs71	084 - Wo35 Fs65	078 - Wo38 En63	067 - Wo39 En52 Fs9	073 - Wo39 En36 Fs25	068 - Wo38 En29 Fs33	074 - Wo39 En24 Fs37	066 - Wo38 En15 Fs48	085 - Wo39 Fs61	032 - Wo46 En54	077 - Wo45 En52 Fs3	075 - Wo45 En46 Fs9	079 - Wo47 En38 Fs15	071 - Wo46 En23 Fs31	076 - Wo46 En18 Fs35	070 - Wo45 En14 Fs41
0.4	0.29731	0.20217	0.45274	0.28813	0.21496	0.09871	0.09417	0.74236	0.71059	0.11949	0.12319	0.78895	0.31139	0.20238	0.31789	0.22078	0.27012	0.22834	0.93228	0.6024	0.50285	0.10348	0.16447	0.07098	0.15296
0.405	0.31711	0.21376	0.48061	0.31795	0.23909	0.1119	0.10645	0.74499	0.71127	0.13424	0.142	0.7876	0.32466	0.21261	0.34913	0.23693	0.29287	0.24764	0.93421	0.61527	0.52274	0.11049	0.17596	0.07421	0.16815
0.41	0.33254	0.22234	0.49894	0.33736	0.25615	0.12194	0.1163	0.74552	0.71373	0.14736	0.15813	0.79164	0.33533	0.22076	0.37111	0.25159	0.31276	0.26363	0.93549	0.62392	0.53854	0.11666	0.18518	0.07689	0.18085
0.415	0.34365	0.22841	0.51241	0.35122	0.26858	0.12996	0.12227	0.74735	0.713	0.15655	0.16997	0.79402	0.34418	0.22666	0.38636	0.26211	0.32555	0.27633	0.93569	0.6321	0.54883	0.12137	0.19265	0.07945	0.19131
0.42	0.35242	0.23365	0.52388	0.3631	0.27949	0.13731	0.12775	0.74876	0.71457	0.16497	0.17759	0.79636	0.35156	0.23161	0.39782	0.27152	0.3371	0.28665	0.93632	0.63768	0.55846	0.12472	0.19869	0.08158	0.19935
0.425	0.35903	0.23735	0.53171	0.37221	0.28579	0.14277	0.13253	0.74917	0.715	0.17269	0.1874	0.79855	0.35815	0.23615	0.40959	0.28099	0.34651	0.29742	0.93751	0.64429	0.56628	0.12773	0.20484	0.08323	0.20603
0.43	0.35919	0.23843	0.53119	0.37127	0.28413	0.14416	0.13439	0.751	0.71646	0.17663	0.18987	0.8034	0.3614	0.23822	0.41259	0.28573	0.35017	0.30402	0.93846	0.64641	0.57076	0.12911	0.20801	0.08435	0.20869
0.435	0.35868	0.23814	0.52868	0.36448	0.28166	0.14237	0.13139	0.75227	0.71623	0.17427	0.18669	0.80332	0.36217	0.23822	0.40574	0.28736	0.34544	0.30535	0.9394	0.64684	0.56938	0.12858	0.2083	0.08455	0.20745
0.44	0.36228	0.24163	0.53381	0.36747	0.28504	0.1436	0.13061	0.75318	0.71737	0.17389	0.18475	0.80555	0.36467	0.23965	0.40786	0.28994	0.34616	0.30738	0.93916	0.65259	0.57425	0.12827	0.20994	0.08457	0.20696
0.445	0.36899	0.24596	0.54217	0.37895	0.29398	0.14915	0.13536	0.75299	0.71819	0.18023	0.19307	0.81002	0.36786	0.24343	0.42024	0.29714	0.35325	0.31527	0.93889	0.65694	0.58006	0.12886	0.21359	0.08469	0.20779
0.45	0.37138	0.24947	0.54817	0.38649	0.29979	0.15337	0.13927	0.75481	0.71889	0.18549	0.19857	0.81272	0.37021	0.2458	0.42974	0.30144	0.35877	0.32176	0.93976	0.66202	0.58586	0.12904	0.21616	0.0847	0.20797
0.455	0.37518	0.25248	0.55399	0.39292	0.30502	0.15689	0.14146	0.75566	0.71892	0.1886	0.20235	0.81369	0.37292	0.24858	0.43663	0.30637	0.36308	0.32591	0.9398	0.66363	0.58909	0.12962	0.21905	0.08503	0.20931
0.46	0.38169	0.25678	0.56199	0.40245	0.31351	0.16251	0.14538	0.75556	0.72088	0.19464	0.20838	0.81697	0.37741	0.25181	0.44638	0.31263	0.36975	0.33244	0.94011	0.66879	0.59616	0.13185	0.22256	0.08619	0.21289
0.465	0.3865	0.25924	0.5665	0.40768	0.31771	0.16605	0.14838	0.7573	0.72079	0.19969	0.21363	0.81883	0.38195	0.25482	0.45299	0.3187	0.3757	0.33795	0.94146	0.67107	0.59996	0.13461	0.22678	0.08761	0.21859
0.47	0.38897	0.2602	0.56803	0.40715	0.31695	0.1664	0.14869	0.75532	0.72184	0.20089	0.21583	0.82083	0.38637	0.25646	0.45416	0.32196	0.3786	0.34134	0.94171	0.67422	0.60353	0.13735	0.22948	0.08906	0.22335
0.475	0.39394	0.26208	0.57252	0.40907	0.31858	0.16734	0.1486	0.75866	0.72274	0.20144	0.21657	0.82589	0.39135	0.25954	0.45764	0.32634	0.38287	0.34363	0.9432	0.67738	0.60648	0.14011	0.23327	0.09042	0.22896
0.48	0.39854	0.26436	0.57583	0.41298	0.32106	0.17028	0.15079	0.75824	0.72379	0.20556	0.22123	0.82864	0.39566	0.26186	0.46174	0.33036	0.38865	0.34923	0.94386	0.68022	0.61066	0.14277	0.23634	0.09204	0.23419
0.485	0.40367	0.26693	0.57959	0.41841	0.32616	0.17401	0.1534	0.7594	0.72237	0.20991	0.22542	0.83048	0.39965	0.2643	0.4666	0.33432	0.39338	0.35383	0.944	0.68263	0.61281	0.1452	0.23955	0.09338	0.23892
0.49	0.41036	0.27036	0.58759	0.42622	0.33475	0.17999	0.15632	0.76011	0.7241	0.2154	0.23118	0.83441	0.40404	0.26738	0.47247	0.33824	0.4001	0.36011	0.94447	0.68504	0.61757	0.1482	0.24375	0.09493	0.24447
0.495	0.41976	0.27557	0.59991	0.44291	0.34996	0.19047	0.16345	0.7604	0.7239	0.22692	0.24496	0.83512	0.41019	0.27237	0.48599	0.34632	0.41307	0.36952	0.94548	0.68833	0.62329	0.15268	0.25002	0.09711	0.25372
0.5	0.42226	0.27646	0.60142	0.44531	0.35236	0.19499	0.16707	0.76019	0.72519	0.23419	0.25128	0.83823	0.4149	0.27499	0.489	0.3503	0.41986	0.37514	0.94603	0.68836	0.62511	0.1568	0.25432	0.09926	0.26121
0.505	0.40825	0.26741	0.57562	0.42179	0.32685	0.18621	0.16278	0.76084	0.72407	0.23027	0.24095	0.83947	0.41524	0.27304	0.46937	0.34473	0.41174	0.37136	0.94553	0.68218	0.61573	0.15855	0.25324	0.10108	0.26417
0.51	0.39525	0.25703	0.55051	0.37968	0.30247	0.16603	0.14094	0.76006	0.72571	0.20293	0.19813	0.84059	0.41121	0.26293	0.41608	0.32265	0.37442	0.34571	0.94472	0.68105	0.59853	0.15479	0.24125	0.10147	0.25251
0.515	0.42624	0.27236	0.59126	0.41706	0.33739	0.18284	0.14724	0.76157	0.72539	0.21042	0.21801	0.84276	0.42667	0.27419	0.45226	0.33938	0.40422	0.35846	0.94613	0.69038	0.6175	0.16389	0.25648	0.10541	0.27524
0.52	0.45194	0.28525	0.62129	0.46577	0.37923	0.21387	0.16921	0.76139	0.72664	0.24576	0.25554	0.84644	0.43923	0.28596	0.4956	0.36101	0.44359	0.38373	0.94842	0.69579	0.63312	0.17407	0.27043	0.10943	0.29775
0.525	0.46378	0.29156	0.63637	0.48864	0.39997	0.23152	0.18092	0.76315	0.72617	0.26702	0.27757	0.84936	0.44767	0.29198	0.51487	0.3714	0.46422	0.39804	0.94943	0.6973	0.63975	0.18034	0.27845	0.11274	0.31356
0.53	0.47101	0.29467	0.64364	0.50197	0.4115	0.24269	0.18798	0.76219	0.72669	0.28107	0.29085	0.85127	0.4531	0.29601	0.52307	0.3771	0.4772	0.40601	0.94973	0.6985	0.64403	0.1857	0.28401	0.1155	0.32618
0.535	0.47546	0.29659	0.64699	0.50851	0.4182	0.2503	0.19187	0.76376	0.7265	0.29067	0.29969	0.85322	0.45808	0.299	0.52707	0.38014	0.48576	0.4113	0.94931	0.6976	0.64391	0.1901	0.2883	0.1178	0.33684
0.54	0.47502	0.29619	0.6434	0.50765	0.41693	0.25288	0.19349	0.76337	0.72768	0.2955	0.3014	0.85501	0.4607	0.29996	0.52474	0.37998	0.48979	0.41344	0.95001	0.69756	0.64355	0.19299	0.28997	0.11966	0.3438
0.545	0.47042	0.29427	0.63469	0.49692	0.4078	0.24885	0.1906	0.76432	0.72708	0.29261	0.29524	0.85638	0.46212	0.29999	0.5151	0.37702	0.48521	0.41152	0.95014	0.69502	0.6406	0.19429	0.29015	0.12099	0.34703
0.55	0.46595	0.29197	0.62867	0.48114	0.3975	0.24016	0.18328	0.76375	0.72804	0.28043	0.27963	0.85939	0.46157	0.29787	0.49979	0.3711	0.47369	0.4043	0.9496	0.69492	0.63645	0.19433	0.28776	0.12142	0.34573
0.555	0.47429	0.29468	0.63576	0.48798	0.4055	0.24334	0.18314	0.76435	0.72705	0.27976	0.28452	0.85571	0.46725	0.3011	0.50453	0.37361	0.47958	0.40674	0.94953	0.6981	0.64013	0.19732	0.29134	0.12273	0.35418
0.56	0.48916	0.3021	0.65419	0.5165	0.43054	0.26257	0.19494	0.7633	0.72867	0.30219	0.30745	0.86045	0.47364	0.30728	0.52591	0.38271	0.5022	0.42016	0.95077	0.70337	0.64851	0.20282	0.29818	0.12477	0.36666
0.565	0.50126	0.30753	0.66773	0.54027	0.4527	0.28021	0.20355	0.76524	0.72848	0.32026	0.32285	0.86197	0.4796	0.31225	0.5431	0.39029	0.51905	0.42798	0.95093	0.70474	0.65287	0.20737	0.30398	0.12624	0.3768
0.57	0.50935	0.31144	0.67656	0.55534	0.46715	0.29146	0.20825	0.76488	0.72912	0.3322	0.33234	0.86423	0.48326	0.31555	0.5529	0.394	0.53047	0.43407	0.95176	0.70611	0.65657	0.21033	0.30759	0.12737	0.38378
0.575	0.51534	0.31388	0.68243	0.56466	0.47804	0.29922	0.21126	0.76546	0.72871	0.33932	0.33662	0.86621	0.48692	0.3183	0.55915	0.39649	0.53747	0.43676	0.9516	0.7061	0.65735	0.21313	0.31017	0.12814	0.38942
0.58	0.51947	0.31618	0.68615	0.57262	0.4854	0.30488	0.21321	0.76483	0.72941	0.34471	0.34117	0.86877	0.48952	0.32067	0.56211	0.39802	0.54306	0.4401	0.95177	0.70804	0.65932	0.21509	0.31233	0.12902	0.39346
0.585	0.52286	0.3175	0.68886	0.57702	0.49099	0.30873	0.21451	0.76549	0.72869	0.34807	0.34251	0.8687	0.49201	0.3224	0.56464	0.39841	0.5465	0.44131	0.95159	0.70739	0.65917	0.21709	0.31388	0.12952	0.39673
0.59	0.52621	0.31937	0.69135	0.58095	0.49562	0.31184	0.2156	0.76496	0.72987	0.35087	0.34464	0.87118	0.49331	0.32419	0.56609	0.39884	0.5495	0.44353	0.9528	0.70884	0.66034	0.21847	0.31537	0.12998	0.39919
0.595	0.52929	0.32059	0.6935	0.58355	0.49939	0.31375	0.21613	0.76588	0.72927	0.35299	0.34457	0.87266	0.49557	0.32568	0.5668	0.39943	0.55164	0.44406	0.9522	0.70856	0.66089	0.22032	0.31627	0.13035	0.40117
0.6	0.53108	0.32172	0.69464	0.58687	0.50186	0.3161	0.21678	0.76577	0.73046	0.35431	0.34602	0.87436	0.49698	0.32731	0.56798	0.39948	0.55388	0.44539	0.95326	0.70912	0.66074	0.22117	0.31726	0.13046	0.40259
0.605	0.53361	0.32281	0.69511	0.58851	0.5045	0.3172	0.21698	0.76619	0.73018	0.35534	0.34556	0.87544	0.49866	0.32884	0.56854	0.39884	0.55486	0.44603	0.95363	0.70772	0.66137	0.22267	0.31816	0.13064	0.40341
0.61	0.53382	0.3237	0.69592	0.59006	0.50569	0.31784	0.2173	0.76625	0.7314	0.35566	0.34597	0.87503	0.49953	0.33031	0.56794	0.39904	0.55603	0.4469	0.95302	0.70812	0.66052	0.22335	0.3185	0.13081	0.40428
0.615	0.5358	0.32544	0.69686	0.59035	0.507	0.31781	0.21723	0.76609	0.73045	0.35586	0.34458	0.87385	0.50099	0.33137	0.56747	0.39813	0.55612	0.44694	0.95287	0.70686	0.65938	0.22453	0.31888	0.13081	0.40408
0.62	0.53636	0.32615	0.69659	0.59117	0.50804	0.3182	0.21684	0.76616	0.73163	0.35498	0.34374	0.87352	0.50097	0.33271	0.5669	0.39768	0.55662	0.44761	0.9525	0.70718	0.6598	0.22533	0.31922	0.13102	0.40381
0.625	0.53677	0.32733	0.6974	0.59112	0.50866	0.31799	0.21692	0.7669	0.7307	0.35503	0.34228	0.87302	0.50195	0.33368	0.56603	0.3967	0.556	0.44765	0.95185	0.70591	0.65897	0.226	0.31931	0.13098	0.40374
0.63	0.53779	0.32787	0.69664	0.59101	0.5088	0.31739	0.21649	0.76626	0.73178	0.35407	0.34029	0.87174	0.50245	0.33489	0.56474	0.39594	0.55577	0.44788	0.95217	0.70594	0.65805	0.22671	0.31929	0.13088	0.4033
0.635	0.53971	0.32886	0.69732	0.58966	0.50901	0.31689	0.21604	0.76639	0.73141	0.35331	0.34041	0.87106	0.50343	0.33577	0.56388	0.39538	0.5548	0.44874	0.95196	0.70397	0.65686	0.22728	0.31951	0.13075	0.40291
0.64	0.54004	0.32981	0.69742	0.58937	0.50796	0.31611	0.21591	0.76752	0.73186	0.3526	0.33739	0.87083	0.50382	0.33672	0.56227	0.39472	0.55412	0.44755	0.95223	0.70422	0.65636	0.22771	0.31952	0.13074	0.40195
0.645	0.54161	0.32994	0.69628	0.5886	0.50815	0.31555	0.2153	0.76702	0.73155	0.3517	0.3367	0.87042	0.50439	0.33762	0.56118	0.39381	0.55346	0.44705	0.95239	0.70253	0.65578	0.22859	0.31966	0.13057	0.40197
0.65	0.54186	0.33056	0.69598	0.58691	0.5071	0.31439	0.2151	0.76705	0.73234	0.35039	0.33453	0.87158	0.50463	0.33819	0.55974	0.39309	0.55244	0.44751	0.9523	0.70274	0.65536	0.22881	0.31956	0.1306	0.40091
0.655	0.54169	0.33076	0.69473	0.58563	0.50623	0.3133	0.21432	0.76781	0.73157	0.34929	0.33375	0.87145	0.50493	0.33891	0.55886	0.39146	0.55143	0.44779	0.95187	0.70072	0.65427	0.22946	0.31968	0.13039	0.40013
0.66	0.54177	0.331	0.69381	0.58494	0.50431	0.31226	0.21378	0.76736	0.73219	0.34809	0.33142	0.87255	0.5056	0.33946	0.55764	0.39108	0.55059	0.44743	0.95219	0.70132	0.65413	0.22982	0.31957	0.13048	0.39928
0.665	0.5419	0.33153	0.69282	0.58275	0.50234	0.31075	0.21328	0.76756	0.7323	0.347	0.32984	0.87396	0.50585	0.33992	0.5561	0.38992	0.54916	0.44734	0.95299	0.69913	0.65356	0.23034	0.31955	0.13025	0.39845
0.67	0.5431	0.33168	0.6926	0.5813	0.50166	0.30957	0.21281	0.76768	0.73285	0.34563	0.32807	0.87458	0.50538	0.34067	0.55379	0.38914	0.54804	0.44744	0.95398	0.69929	0.65316	0.23052	0.3195	0.13022	0.39751
0.675	0.54324	0.33187	0.69136	0.57953	0.50084	0.30808	0.21226	0.76784	0.73229	0.34491	0.32673	0.87352	0.50627	0.34093	0.5538	0.38805	0.54666	0.44784	0.95372	0.69732	0.65214	0.23076	0.31959	0.13003	0.39695
0.68	0.54302	0.33187	0.69067	0.57814	0.49745	0.30673	0.21189	0.76803	0.73302	0.34344	0.32542	0.87416	0.50625	0.34157	0.55167	0.38751	0.54541	0.44758	0.95346	0.69737	0.65223	0.23114	0.31956	0.13001	0.39578
0.685	0.54313	0.33131	0.6889	0.57616	0.4985	0.30523	0.21143	0.76823	0.73311	0.34174	0.32333	0.87448	0.50643	0.34187	0.55108	0.3867	0.54387	0.44727	0.95363	0.69478	0.65055	0.23136	0.31918	0.12971	0.39506
0.69	0.54266	0.33206	0.68907	0.57478	0.49517	0.30378	0.21068	0.76782	0.73256	0.33983	0.32182	0.87581	0.50597	0.34206	0.5489	0.38572	0.54244	0.44752	0.9543	0.69456	0.65029	0.2315	0.31911	0.12972	0.39371
0.695	0.54248	0.33174	0.68802	0.57227	0.49253	0.30228	0.20979	0.76917	0.73315	0.33836	0.31904	0.87626	0.50611	0.34238	0.54817	0.3841	0.54135	0.44605	0.95444	0.6927	0.64975	0.23172	0.31884	0.12938	0.39296
0.7	0.54194	0.33119	0.6858	0.57086	0.49106	0.30095	0.20911	0.76807	0.73345	0.33578	0.31812	0.87718	0.50566	0.34237	0.54625	0.38344	0.53973	0.44632	0.9543	0.6918	0.64929	0.2318	0.31849	0.12944	0.39154
0.705	0.54158	0.33102	0.6845	0.56832	0.48896	0.299	0.20819	0.76867	0.73444	0.33409	0.31576	0.87691	0.5058	0.34316	0.54512	0.38318	0.53791	0.44547	0.95423	0.68956	0.64792	0.23169	0.31817	0.12908	0.3906
0.71	0.54179	0.33097	0.68379	0.56688	0.48585	0.29768	0.20744	0.76875	0.73437	0.33243	0.31413	0.87771	0.5049	0.34293	0.54333	0.38218	0.53623	0.44473	0.95417	0.68865	0.64747	0.23211	0.31787	0.12888	0.38947
0.715	0.54062	0.33047	0.6832	0.56406	0.48461	0.29586	0.20654	0.76912	0.73381	0.3303	0.31156	0.87922	0.50464	0.34298	0.54178	0.38146	0.53482	0.44395	0.95557	0.6857	0.64677	0.23188	0.31733	0.12865	0.38807
0.72	0.53951	0.33035	0.68087	0.56233	0.48208	0.29447	0.2057	0.76957	0.73466	0.32838	0.31023	0.88037	0.50429	0.34279	0.54039	0.38085	0.53296	0.44391	0.95498	0.68516	0.64604	0.23202	0.31698	0.12847	0.38703
0.725	0.53777	0.32954	0.67856	0.5597	0.47901	0.2929	0.20471	0.76953	0.73443	0.32637	0.30739	0.88152	0.50356	0.34288	0.53903	0.37968	0.53144	0.44245	0.95649	0.68295	0.64532	0.23161	0.3167	0.12827	0.38573
0.73	0.53692	0.32817	0.67563	0.55754	0.47648	0.29128	0.20403	0.76972	0.73426	0.32444	0.30574	0.88397	0.50322	0.34263	0.5377	0.37886	0.52999	0.44158	0.95595	0.68145	0.64455	0.23193	0.31616	0.12809	0.38409
0.735	0.53494	0.32754	0.67354	0.55528	0.47342	0.28979	0.20298	0.76907	0.73469	0.32277	0.30324	0.88449	0.50242	0.34218	0.53583	0.3783	0.52835	0.44072	0.95592	0.67827	0.64323	0.23114	0.31563	0.12783	0.38302
0.74	0.53349	0.32689	0.67146	0.55294	0.47033	0.28843	0.2021	0.76902	0.73499	0.32113	0.30209	0.88766	0.50185	0.34209	0.53428	0.37754	0.52626	0.4407	0.95574	0.67828	0.64232	0.23141	0.31507	0.12771	0.38146
0.745	0.53056	0.32609	0.66998	0.54925	0.46629	0.28654	0.20144	0.76889	0.7346	0.31966	0.29914	0.88574	0.50111	0.3416	0.53214	0.37689	0.52495	0.43901	0.9567	0.67565	0.64152	0.23104	0.31493	0.12757	0.38097
0.75	0.52886	0.32508	0.66648	0.54719	0.4628	0.28489	0.20064	0.76905	0.7354	0.31799	0.29753	0.88628	0.50032	0.34145	0.5308	0.37658	0.52322	0.43869	0.95661	0.67377	0.64074	0.2309	0.31388	0.12749	0.37917
0.755	0.52571	0.32387	0.66311	0.54393	0.45879	0.28328	0.1997	0.76912	0.73449	0.31676	0.29454	0.88998	0.49927	0.3409	0.52826	0.37595	0.52158	0.43707	0.95693	0.67087	0.63919	0.23073	0.31369	0.12714	0.37826
0.76	0.52291	0.32269	0.65912	0.5407	0.45439	0.28124	0.19883	0.77005	0.73447	0.31557	0.29313	0.88973	0.49849	0.34004	0.52638	0.37519	0.51982	0.43681	0.95665	0.66883	0.63779	0.23039	0.31289	0.12708	0.37703
