RELAB ID	DL-CMP-023	DL-CMP-028	DL-CMP-024	DL-CMP-020	DL-CMP-021	DL-CMP-061	DL-CMP-022	DL-CMP-003	DL-CMP-026	DL-CMP-004	DL-CMP-025	DL-CMP-001	DL-CMP-064	DL-CMP-065	DL-CMP-002	DL-CMP-027
Wavelength (um)	023 - En30 Fs70	028 - En25 Fs75	024 - En17 Fs83	020 - En17 Fs83	021 - En8 Fs92	061 - Fs100	022 - En75 Fs25	003 - En75 Fs25	026 - En70 Fs30	004 - En50 Fs50	025 - En35 Fs65	001 - En100	064 - En97.5Fs2.5	065 - En90 Fs10	002 - En80 Fs20	027 - En80 Fs20
0.47	0.17388	0.20254	0.23081	0.2131	0.16451	0.13049	0.67026	0.6769	0.67082	0.49222	0.26954	0.5975	0.64427	0.71225	0.65407	0.66769
0.475	0.17661	0.20495	0.23277	0.21501	0.16644	0.13176	0.6741	0.68168	0.67601	0.49754	0.27274	0.59827	0.64727	0.71648	0.65878	0.67304
0.48	0.176	0.20363	0.23248	0.21509	0.1675	0.13186	0.67501	0.68358	0.67626	0.49564	0.27478	0.59963	0.65014	0.71772	0.66006	0.67341
0.485	0.17924	0.20744	0.23627	0.21858	0.1707	0.13475	0.6787	0.68634	0.68194	0.50063	0.27833	0.6009	0.65281	0.72093	0.66408	0.67937
0.49	0.18451	0.21558	0.2448	0.22612	0.17667	0.13983	0.68185	0.69076	0.68677	0.50783	0.28447	0.60268	0.65569	0.72307	0.66856	0.68263
0.495	0.1964	0.23079	0.25763	0.23826	0.18491	0.14868	0.68677	0.69577	0.69469	0.52269	0.29343	0.60466	0.65874	0.72581	0.67336	0.68979
0.5	0.19956	0.2324	0.2611	0.24216	0.18906	0.15351	0.6858	0.69647	0.69218	0.52184	0.298	0.60646	0.66043	0.72634	0.67134	0.68559
0.505	0.18043	0.20491	0.24238	0.22665	0.18283	0.14819	0.66273	0.6703	0.65386	0.47692	0.28907	0.60795	0.65769	0.71849	0.62512	0.64341
0.51	0.19496	0.2218	0.2521	0.23531	0.18794	0.14201	0.68724	0.69675	0.6931	0.51651	0.30193	0.61013	0.66472	0.7294	0.67127	0.68903
0.515	0.22299	0.25785	0.28242	0.26262	0.20605	0.1632	0.69805	0.70985	0.71287	0.55212	0.31963	0.61195	0.66745	0.73427	0.68824	0.7052
0.52	0.2388	0.27782	0.29977	0.27911	0.21841	0.17736	0.70156	0.71639	0.72008	0.56754	0.33059	0.614	0.66992	0.73581	0.6955	0.71034
0.525	0.24854	0.28829	0.30941	0.2884	0.22634	0.18552	0.70406	0.71856	0.72343	0.57485	0.33762	0.61607	0.6719	0.73761	0.6967	0.71302
0.53	0.25497	0.29518	0.3174	0.29593	0.23323	0.19203	0.70442	0.72074	0.72488	0.57822	0.34365	0.61798	0.67392	0.73829	0.69901	0.71342
0.535	0.26007	0.29963	0.32217	0.301	0.23842	0.19728	0.70525	0.72089	0.72463	0.57948	0.34761	0.61966	0.67496	0.73986	0.69649	0.71382
0.54	0.25979	0.29836	0.32272	0.30261	0.24136	0.19964	0.7034	0.71972	0.72078	0.57508	0.34888	0.62117	0.67542	0.73977	0.69327	0.70938
0.545	0.25699	0.29224	0.3191	0.30043	0.24173	0.19895	0.70229	0.71659	0.71661	0.56836	0.34836	0.62319	0.67685	0.73963	0.68735	0.70611
0.55	0.25772	0.2934	0.32026	0.30173	0.24386	0.19852	0.70199	0.71682	0.71642	0.56877	0.35043	0.62536	0.67749	0.73997	0.68732	0.70525
0.555	0.27071	0.30917	0.33198	0.31271	0.25147	0.20571	0.70757	0.72347	0.72576	0.58339	0.35755	0.62591	0.6791	0.74281	0.69493	0.71451
0.56	0.28333	0.32544	0.34525	0.32538	0.26079	0.21497	0.71122	0.72966	0.73285	0.5952	0.36525	0.62883	0.68189	0.74515	0.70446	0.72098
0.565	0.29458	0.33781	0.35538	0.33467	0.26812	0.22335	0.71511	0.73296	0.73783	0.60469	0.37164	0.62941	0.68352	0.74784	0.70802	0.72609
0.57	0.30169	0.34686	0.36425	0.34309	0.27466	0.22979	0.71706	0.73696	0.74119	0.61128	0.37688	0.63195	0.68519	0.74862	0.71282	0.7291
0.575	0.31009	0.35578	0.37175	0.34945	0.28033	0.23493	0.72011	0.73797	0.74505	0.61775	0.38142	0.63318	0.68726	0.75017	0.71485	0.73295
0.58	0.31799	0.36426	0.37727	0.35576	0.2855	0.2396	0.72163	0.74182	0.74753	0.62334	0.38547	0.63547	0.6879	0.75167	0.71904	0.73425
0.585	0.32466	0.3709	0.38329	0.36195	0.28957	0.24367	0.72439	0.74357	0.75114	0.62811	0.38928	0.63612	0.6897	0.75327	0.72079	0.73875
0.59	0.32984	0.37673	0.38786	0.36684	0.29374	0.2471	0.72598	0.7474	0.75378	0.63283	0.39222	0.63814	0.69085	0.75445	0.72505	0.74119
0.595	0.33529	0.38179	0.39222	0.37128	0.29736	0.24995	0.72872	0.74947	0.75693	0.63694	0.39462	0.63904	0.69187	0.75588	0.72685	0.74396
0.6	0.33831	0.38705	0.39549	0.37463	0.30035	0.25239	0.72976	0.75201	0.75881	0.64077	0.39745	0.64136	0.69324	0.75709	0.73001	0.74639
0.605	0.34226	0.39043	0.39859	0.37788	0.30307	0.25462	0.73197	0.75364	0.76117	0.64391	0.39951	0.64215	0.69419	0.75814	0.7318	0.74925
0.61	0.34542	0.39294	0.40131	0.38067	0.30551	0.25651	0.7327	0.75565	0.76289	0.64628	0.40129	0.64376	0.69437	0.75931	0.73475	0.75071
0.615	0.34889	0.39631	0.40334	0.38319	0.30746	0.25834	0.73494	0.75774	0.76495	0.64972	0.40293	0.64502	0.69619	0.76033	0.73613	0.75316
0.62	0.35168	0.39928	0.4054	0.38534	0.30938	0.25978	0.73572	0.75975	0.76673	0.65316	0.40469	0.64577	0.69706	0.76141	0.73976	0.75464
0.625	0.35491	0.40168	0.40753	0.38768	0.31116	0.26126	0.73803	0.76165	0.76935	0.65558	0.40608	0.64684	0.69875	0.76273	0.74086	0.75801
0.63	0.35667	0.40402	0.4092	0.38957	0.31271	0.26231	0.73892	0.76412	0.77161	0.658	0.40763	0.64831	0.69926	0.76389	0.74454	0.76065
0.635	0.35921	0.40541	0.41029	0.39103	0.31389	0.26328	0.74028	0.76471	0.77295	0.65996	0.40892	0.64906	0.69945	0.76491	0.74571	0.7628
0.64	0.36114	0.40762	0.41099	0.3924	0.31525	0.2642	0.74124	0.76713	0.7738	0.66221	0.40979	0.6505	0.7009	0.76595	0.74855	0.76343
0.645	0.36307	0.40852	0.41253	0.39349	0.31612	0.26471	0.74272	0.76826	0.77562	0.66373	0.41071	0.6519	0.70195	0.76683	0.74976	0.76591
0.65	0.3634	0.40974	0.41264	0.39409	0.31706	0.26492	0.74307	0.76997	0.77607	0.66523	0.41149	0.65336	0.70324	0.76782	0.75213	0.76704
0.655	0.36477	0.40955	0.41316	0.395	0.31785	0.26536	0.74472	0.77112	0.77771	0.66607	0.41264	0.65418	0.70433	0.76825	0.75186	0.76898
0.66	0.36483	0.41071	0.4134	0.39506	0.3185	0.26534	0.74493	0.77228	0.7781	0.66701	0.41281	0.65501	0.70588	0.76937	0.75435	0.76999
0.665	0.36561	0.41024	0.41372	0.3953	0.31897	0.26549	0.74598	0.77252	0.7783	0.66751	0.41366	0.6567	0.70677	0.76971	0.75486	0.77067
0.67	0.36676	0.4102	0.41371	0.3954	0.31951	0.26524	0.74686	0.77385	0.77925	0.6676	0.41402	0.65765	0.70721	0.77069	0.75587	0.77164
0.675	0.36694	0.4096	0.41396	0.39543	0.32004	0.26517	0.74742	0.7738	0.77927	0.66718	0.4143	0.65884	0.70817	0.77121	0.75615	0.77249
0.68	0.36559	0.40976	0.41309	0.3951	0.32016	0.26523	0.74783	0.77418	0.77899	0.66681	0.41401	0.65987	0.7091	0.77236	0.75629	0.77224
